case_id,seq,label,date,name,code,tag_main,tag_sub,tag_full,g_ref,source,evidence
CASE-0054,54,성공,2024-01-11,아가방컴퍼니,013990,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-11(아가방컴퍼니)」 + KRX 실측,"실측 O6,230 H6,720 L5,850 C6,640(-0.9%), 거래대금 700억. 중국 출산정책 재료"
CASE-0055,55,성공,2024-01-11,한화투자증권,003530,데이트레이딩 매매(5-3권 예시집2),상한가,데이트레이딩 매매(5-3권 예시집2)/상한가,,5-3권 예시집2 「2024-01-11(한화투자증권)」 + KRX 실측,"실측 O3,800 H4,400 C4,400(**+29.99%, 상한가 마감**), 거래대금 2,521억"
CASE-0056,56,성공,2024-01-11,컴퍼니케이,307930,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-11(컴퍼니케이)」 + KRX 실측,"실측 O9,550 H10,380 L8,640 C8,800(+5.52%), 거래대금 1,631억. ※CASE-0078(02-29)과 별개 매매일"
CASE-0057,57,성공,2024-01-11,폴라리스오피스,041020,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-11(폴라리스오피스)」 + KRX 실측,"실측 O6,810 H7,720 L6,520 C6,830(+1.04%), 거래대금 1,877억"
CASE-0058,58,성공,2024-01-12,흥구석유,024060,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-12(흥구석유)」 + KRX 실측,"실측 O12,090 H13,240 L11,550 C12,740(+20.19%), 거래대금 2,967억. 풋 성격(악재 수혜) 종목"
CASE-0059,59,성공,2024-01-12,LS머트리얼즈,417200,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-12(LS머트리얼즈)」 + KRX 실측,"실측 O38,000 H45,450 L38,000 C44,650(+11.9%), 거래대금 5,932억. 종가관리 흐름 예시(G3609)와 동일 종목"
CASE-0060,60,성공,2024-01-15,에코바이오,038870,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-15(에코바이오)」 + KRX 실측,"실측 O6,950 H7,780 L6,850 C7,210(+3.15%), 거래대금 590억"
CASE-0061,61,성공,2024-01-15,흥아해운,003280,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-15(흥아해운)」 + KRX 실측,"실측 O4,560 H5,170 L4,500 C4,660(+14.08%), 거래대금 5,620억"
CASE-0062,62,성공,2024-01-16,동방,004140,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-16(동방)」 + KRX 실측,"실측 O2,975 H3,040 L2,685 C2,850(-7.01%), 거래대금 691억. ※당일 -7.01%(눌림/조정 매수 관점 추정, 라벨 확인 권장)"
CASE-0063,63,성공,2024-01-17,이월드,084680,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-17(이월드)」 + KRX 실측,"실측 O2,405 H2,595 L2,315 C2,370(-3.07%), 거래대금 388억"
CASE-0064,64,성공,2024-01-17,한솔로지스틱스,009180,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-17(한솔로지스틱스)」 + KRX 실측,"실측 O3,240 H3,295 L2,760 C2,815(+0.36%), 거래대금 730억"
CASE-0065,65,성공,2024-01-17,이삭엔지니어링,351330,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-17(이삭엔지니어링)」 + KRX 실측,"실측 O9,900 H12,130 L9,740 C10,260(-0.87%), 거래대금 1,065억"
CASE-0066,66,성공,2024-01-18,휴니드,005870,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-18(휴니드)」 + KRX 실측,"실측 O7,840 H8,620 L7,560 C7,970(-2.8%), 거래대금 727억. ※CASE-0027(2023-10-18)과 별개 매매일. 방산 테마"
CASE-0067,67,성공,2024-01-25,미스터블루,207760,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-25(미스터블루)」 + KRX 실측,"실측 O2,660 H3,015 L2,540 C2,765(-3.49%), 거래대금 1,945억"
CASE-0068,68,성공,2024-01-31,데이타솔루션,263800,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-31(데이타솔루션)」 + KRX 실측,"실측 O6,100 H6,340 L5,880 C6,310(-0.63%), 거래대금 165억"
CASE-0069,69,성공,2024-02-01,한솔인티큐브,070590,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),G3906;G3909,5-3권 예시집2 INDEX18 「2024-02-01(한솔인티큐브)」 / G3906·G3909 + KRX 실측,"실측 O2,340 H2,490 L1,896 C1,931(**-13.79%**), 거래대금 114억. 엔비디아/AI 재료(코어에이아이 파트너십). ★당일 종가 -13.79%이나 저자는 장 막판 상한가 풀림 낙폭과대→보합권 재상승 소액 매수→직후 상승 짧게 익절 = **성공 확정**(빠른 익절 후 하루종일 하락 장대음봉으로 익절 정당화)"
CASE-0070,70,성공,2024-02-07,동화기업,025900,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),G3910;G3912;G3915,5-3권 예시집2 INDEX19 「2024-02-07(동화기업)」 / G3910·G3912·G3915 + KRX 실측,"실측 O82,000 H84,400 L67,900 C69,800(**-14.88%**), 거래대금 676억. 전고체 배터리 테마(대장=이수스페셜티케미컬). ★테마 내 최약 종목 장마감 -15% 하락→저자 종가 부근 보수적 매수(데이트~기준봉 스윙)→3거래일째 급등 분할 매도 = **성공 확정**(평균단가 관리 스윙)"
CASE-0071,71,성공,2024-02-07,이수스페셜티케미컬,457190,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-07(이수스페셜티케미컬)」 + KRX 실측,"실측 O258,500 H266,000 L236,500 C253,000(-0.2%), 거래대금 2,157억. ※CASE-0046(02-08)과 별개 매매일"
CASE-0072,72,성공,2024-02-07,한빛레이저,452190,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-07(한빛레이저)」 + KRX 실측,"실측 O12,910 H13,120 L10,670 C11,200(-7.21%), 거래대금 1,319억"
CASE-0073,73,성공,2024-02-14,탑머티리얼,360070,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-14(탑머티리얼)」 + KRX 실측,"실측 O61,300 H70,500 L59,500 C63,900(+0.31%), 거래대금 559억"
CASE-0074,74,성공,2024-02-14,삼부토건,001470,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-14(삼부토건)」 + KRX 실측,"실측 O2,585 H2,690 L2,410 C2,570(-0.58%), 거래대금 937억"
CASE-0075,75,성공,2024-02-14,네오셈,253590,데이트레이딩 매매(5-3권 예시집2),상한가급,데이트레이딩 매매(5-3권 예시집2)/상한가급,,5-3권 예시집2 「2024-02-14(네오셈)」 + KRX 실측,"실측 O10,520 H14,310 L10,510 C14,250(**+29.43%**), 거래대금 3,633억"
CASE-0076,76,성공,2024-02-15,에스피소프트,443670,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-15(에스피소프트)」 + KRX 실측,"실측 O8,340 H13,110 L7,510 C12,940(**+28.25%**), 거래대금 4,627억"
CASE-0077,77,성공,2024-02-19,네패스아크,330860,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-02-19(네패스아크)」 + KRX 실측,"실측 O29,050 H30,650 L28,600 C29,350(-1.18%), 거래대금 276억"
CASE-0078,78,성공,2024-02-29,컴퍼니케이,307930,데이트레이딩 매매(5-3권 예시집2),상한가,데이트레이딩 매매(5-3권 예시집2)/상한가,,5-3권 예시집2 「2024-02-29(컴퍼니케이)」 + KRX 실측,"실측 O7,820 H9,430 L7,670 C9,430(**+29.89%, 상한가 마감**), 거래대금 857억. ※CASE-0056(01-11)과 별개 매매일"
CASE-0079,79,성공,2024-03-06,이에이트,418620,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-03-06(이에이트)」 + KRX 실측,"실측 O24,700 H25,450 L22,950 C24,550(+1.87%), 거래대금 1,529억"
CASE-0080,80,성공,2024-03-06,스톤브릿지벤처스,330730,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-03-06(스톤브릿지벤처스)」 + KRX 실측,"실측 O5,150 H6,000 L5,100 C5,300(+1.53%), 거래대금 498억"
CASE-0081,81,성공,2024-03-06,사피엔반도체,452430,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-03-06(사피엔반도체)」 + KRX 실측,"실측 O37,950 H39,600 L35,500 C36,000(-7.22%), 거래대금 315억. 신규상장주"
CASE-0082,82,성공,2024-01-17,대한해운,005880,데이트레이딩 매매(5-3권 예시집2),대장주 교체 포착,데이트레이딩 매매(5-3권 예시집2)/대장주 교체 포착,G3883,5-3권 예시집2 INDEX14 「2024-01-17~18(대한해운)」 / G3883 + KRX 실측,"발생일 01-17 실측 O2,575 H **3,100** L2,570 C2,810(+17.82%), 거래대금 6,262억. 홍해 리스크 테마, ★대장주 교체(흥아해운→대한해운) 포착 매매. 2회 매매(1회 본전·1회 상승 전 신호 수익). ※예시집1 catalog에서 누락됐던 INDEX 14 보강"
CASE-0083,83,실패,2024-01-29,엘엠에스,073110,적정거래대금 데이트레이딩,이베스트 거래원 회피,적정거래대금 데이트레이딩/이베스트 거래원 회피,G3558,5-2권 부속 S14 p.23 / G3558 + KRX 실측(원본재독),"발생일 01-29 실측 O7,610 H **9,200** L6,600 C **6,600**(-9.84%): 장중 고점 9,200(10:58) 후 하루종일 하락→종가 6,600(15:30, 저가=종가) 정확 일치. 이베스트 매도상위(688,243)·매수상위(766,760) 양쪽 1위 → 고점 후 하락(당일 매수 회피 근거). ★라벨=실패(저자 회피 사례). ※S14 판정보류(노트 ""01/26""은 실측 **01-29**, 사용자 확인) 해소"
CASE-0084,84,성공,2023-10-13,광동제약,009290,적정거래대금,1번→조정→2번 재상승,적정거래대금/1번→조정→2번 재상승,G5117,스윙 07 부속 거래대금디테일 자료집 p.94 / G5117 + KRX 실측 + 사용자 실사,"1번 발생일 10-13 실측 O6,010 H **7,800** L5,980 C7,500(**+23.15%**), 거래대금 1,036억 = 큰 거래대금 급등 장대양봉 → 2번 10-16 재급등 시도(O7,310 H **8,150** C7,550 +0.67%, 거래대금 1,030억). 저자 1번→조정→2번 패턴 실증 예시(정보박스 미완=매수/매도가 미표기). 발생일=사용자 실사(p.92·94 광동제약 10/13·10/16)"
CASE-0085,85,성공,2023-10-13,LS네트웍스,000680,적정거래대금,1번→조정→2번 재상승,적정거래대금/1번→조정→2번 재상승,G5116,스윙 07 부속 거래대금디테일 자료집 p.93 / G5116 + KRX 실측 + 사용자 실사,"1번 발생일 10-13 실측 O3,745 H4,865 L3,710 C **4,865**(**+29.91%, 상한가 마감**), 거래대금 341억 → 2번 10-16 O5,040 H6,320 C **6,320**(**+29.91%, 상한가 마감**), 거래대금 1,111억 = 연속 상한가 재급등. ★CASE-0039(2023-08-02 호가먹통)와 **별개 매매일**(동일종목 다른 사건). 발생일=사용자 실사(10/13·10/16)"
CASE-0086,86,성공,2023-10-16,GS글로벌,001250,적정거래대금,1번→조정→2번 재상승(인트라데이),적정거래대금/1번→조정→2번 재상승(인트라데이),G5116,스윙 07 부속 거래대금디테일 자료집 p.93 / G5116 + KRX 실측 + 사용자 실사,"발생일 10-16 실측 O2,440 H **2,905** L2,410 C2,725(**+11.68%**), 거래대금 514억: 분봉 1번(13:00경 급등)→조정→2번(14:45경 재급등) 인트라데이 패턴. 발생일·관측시각=사용자 실사(10/16 13:00·14:45경)"
CASE-0087,87,성공,2023-10-11,흥구석유,024060,적정거래대금,1번→조정→2번 재상승(풋 성격),적정거래대금/1번→조정→2번 재상승(풋 성격),G5118,스윙 07 부속 거래대금디테일 자료집 p.95 / G5118 + KRX 실측 + 사용자 실사,"1번 발생일 10-11 실측 O8,270 H **10,270** L8,130 C10,070(**+24.78%**), 거래대금 3,035억 = 대규모 수급 급등 → 대시세 2차 상승 파동(10-13 +27.72% H13,740 · 10-16 +23.7% H17,550). ★CASE-0058(2024-01-12 예시집2)과 **별개 매매일**. 발생일=사용자 실사(10/11)"
CASE-0088,88,성공,2023-10-11,지에스이,053050,적정거래대금,1번→조정→2번 재상승,적정거래대금/1번→조정→2번 재상승,G5118,스윙 07 부속 거래대금디테일 자료집 p.96 / G5118 + KRX 실측 + 사용자 실사,"1번 발생일 10-11 실측 O3,660 H4,375 L3,545 C4,245(+6.13%), 거래대금 993억 → 조정 10-12(-6.24%) → 2번 10-13 O4,135 H **4,870** L3,885 C4,345(+9.17%), 거래대금 2,085억 = 재급등. ★S11 섹션1 공부용차트(등록제외)와 별개 실매매 예시. 발생일=사용자 실사(10/11~10/13)"
CASE-0089,89,성공,2022-05-23,지투파워,388050,적정거래대금 동적성 실증(도식),,적정거래대금 동적성 실증(도식),G5078;G5084,스윙 07 부속 거래대금디테일 자료집 p.32 / G5078·G5084 참조 + KRX 실측 + 사용자 실사,"저자 ""약 1,450억 발생 때마다 가파른 상승 → 적정거래대금 1,450억(동적 증가)"" 실증. KRX 4개 관측일(2022): 05-23 H27,300 **+12.23%** 1,494억 / 06-15 H31,500 +13.52% 1,530억 / 06-22 H39,400 +9.92% 3,012억 / 07-06 H39,600 +17.49% 2,450억. 발생일=첫 관측 05-23(나머지 3일=반복 관측·2·3차 파동). ★**일봉 도식(매수 타점 미표기)** — 라벨=성공(적정거래대금 실증 목적). ※S11 섹션1 공부용도식(등록제외)과 동일종목·별도 07자료집 맥락"
CASE-0090,90,성공,2022-02-28,보성파워텍,006910,적정거래대금 동적성 실증(도식),,적정거래대금 동적성 실증(도식),G5078;G5084,스윙 07 부속 거래대금디테일 자료집 p.34 / G5078·G5084 참조 + KRX 실측 + 사용자 실사,"저자 ""처음 상한가부터 큰 거래대금 + 이후 가파른 상승 = 적정거래대금 커진 동적성"" 실증. 발생일 02-28 실측 O4,720 H5,160 L4,655 C **5,160**(**+29.81%, 상한가 마감**), 거래대금 2,943억(첫 상한가·대량 수급). ★일봉 도식(매수 타점 미표기), 라벨=성공(적정거래대금 실증)"
CASE-0091,91,실패,2022-04-21,NPC,004250,기준봉 매매,지수역상관 손절 리스크,기준봉 매매/지수역상관 손절 리스크,G5010,스윙 5권 p.174~176 / G5010 + KRX 실측 + 사용자 실사,"기준봉 발생일 04-21 실측 O9,650 H12,300 L9,590 C11,900(**+25.13%**), 거래대금 3,244억(2차전지 신사업 법제화 재료). 이후 2매매: ①기준봉 중심 매수→2거래일 뒤 고점 갱신(04-28 H **13,200** 노트 일치) 매도 **+10%**(성공) ②기준봉 시가 매수→익일 미수익 **-2% 손절**, 이후 수급없이 **-20%+ 하락**. ★라벨=실패: 저자 제시 목적=지수 역상관(풋성격) 종목의 기준봉 시가 매매 리스크 경고(-20% 하락 실증). ①성공 병기"
CASE-0092,92,성공,2022-05-27,현대에버다임,041440,볼린저밴드 눌림목 매매,,볼린저밴드 눌림목 매매,G4891,스윙 3권 p.249~250 / G4891 + KRX 실측 + 사용자 실사,"재료=우크라이나 재건. 1차 상승 고점 05-17 H **10,800**(노트 일치). 발생일 05-27 실측 O8,900 H9,100 L8,600 C8,800(-2.0%), 거래대금 125억 = 눌림 저가 볼밴 하한선 이탈~바닥 구간. 저자 볼밴 눌림 「화살표 1번째=매매 가능」 성공 예시(다음날 바닥+단기 상승 매수). ※2·3번째 화살표=매매불가(구름대 하단/연일 하락) 대비"
CASE-0093,93,성공,2024-01-11,디티앤씨알오,383930,시초 갭급락 후 반등 데이트레이딩,,시초 갭급락 후 반등 데이트레이딩,G1966;G1967,S01 요약집 p.7~8 / G1966·G1967 + KRX 실측 + 사용자 실사,"발생일 01-11 실측 O14,600(**-16.09% 갭**) H16,950 L **14,500** C15,730(**-9.60%**), 거래대금 626억. 노트 일봉 툴팁과 완전 일치. 매매=시초 -16% 갭 급락 보고 ""하락폭 커 시초 급반등 기대"" 모니터링→**B 09:03 14,500대(일봉 저가)→S 15,800대 수익**(1분봉 B/S 표식 명시). 재료=한동훈 정치테마(상한가 익일 -28.69%→익일 -16% 갭)"
CASE-0094,94,성공,2023-12-20,하이드로리튬,101670,쩜하한가 해제 후 반등 데이트레이딩,,쩜하한가 해제 후 반등 데이트레이딩,G1968;G1969,S01 요약집 p.9~10 / G1968·G1969 + KRX 실측 + 사용자 실사,"발생일 12-20 실측 O9,620(**-29.99% 쩜하한**) H11,000 L9,620 C10,040(**-26.93%**), 거래대금 1,905억. 노트 일봉 툴팁과 완전 일치. 매매=전환사채 오버행 악재로 쩜하한 출발→개장후 ~150억에 하한가 풀림→**B 09:02 9,700대(3%미만 양봉 시가=손절라인)→S 10,400대 수익**. ★코드 101670=코리아에스이(CASE-0011, 2022-09-14)와 동일종목(사명변경)·별개 사건"
CASE-0095,95,실패,2023-11-16,이오플로우,294090,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G1993;G1994,S02 예시집 섹션1 #1 / G1993·G1994 + KRX 실측,"시초 **-23.96% 갭**(악재: 이오패치 판매정지 가처분·거래재개일). 실측 O16,500 H17,420 L15,200 C16,070(-25.94%)·922억. ★매매불가: 음봉 시가 돌파 미발생=저자 매매불가 1호 예시"
CASE-0096,96,성공,2023-12-13,현대바이오,048410,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G1995;G1996,S02 예시집 섹션1 #2 / G1995·G1996 + KRX 실측,"시초 **-14.95% 갭**(제프티 긴급승인 지연=악재, 소멸보도 없음). 실측 O23,900 H26,450 L23,450 C24,450(-12.99%)·616억. 첫봉 2%내→매수, 손절라인=첫양봉 시가, 여유 수익(패턴2-2 정석)"
CASE-0097,97,실패,2023-12-14,KR모터스,000040,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G1998;G2000,S02 예시집 섹션1 #3 / G1998~G2000 + KRX 실측,"시초 **-23.69% 갭**(주주배정 유상증자 악재). 실측 O380 H413 L362 C364(-26.91%)·22억. ★매매불가: 개장 직후 +6%↑ 동적VI→체결 기회 없음(체결 게이트 탈락, 1초봉 실증)"
CASE-0098,98,실패,2023-12-14,국보,001140,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2001;G2002,S02 예시집 섹션1 #4 / G2001·G2002 + KRX 실측,"시초 **-22.26% 갭**(무상감자 악재). 실측 O2,200 H2,475 L1,999 C2,080(-26.50%)·49억. 진입가능(2-2)이나 ★지저분한 흐름으로 손절(흐름 나쁘면 배제 교훈)"
CASE-0099,99,실패,2023-12-08,웅진,016880,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2003,S02 예시집 섹션1 #5 / G2003 + KRX 실측,"시초 **-19.27% 갭**. 실측 O1,265 H1,316 L1,202 C1,287(-17.87%)·103억. ★매매금지: 재료 소멸(선행 상승 후)=배제 사례"
CASE-0100,100,실패,2023-12-08,엔씨소프트,036570,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2004,S02 예시집 섹션1 #6 / G2004 + KRX 실측,"시초 **-9.94% 갭**. 실측 O235,500 H244,000 L224,500 C238,500(-8.80%)·1,868억. ★매매금지: 재료 소멸(연결재료 부재)=배제 사례"
CASE-0101,101,성공,2023-12-08,라이트론,069540,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2005;G2006,S02 예시집 섹션1 #7 / G2005·G2006 + KRX 실측,"시초 **-13.98% 갭**(이유 없는 하락). 실측 O2,430 H2,695 L2,300 C2,695(-4.60%)·66억. 진입=음봉 시가 돌파(★패턴1 첫 사례), 수익"
CASE-0102,102,성공,2023-12-08,EDGC,245620,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2007;G2009,S02 예시집 섹션1 #8 / G2007·G2009 + KRX 실측,"시초 **-11.92% 갭**(악재). 실측 O362 H515 L362 C400(-2.68%)·91억. 진입=첫봉 2%내 매수(패턴2-2), 장중 H515 급반등 수익"
CASE-0103,103,실패,2023-12-04,에프에스티,036810,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2010;G2011,S02 예시집 섹션1 #9 / G2010·G2011 + KRX 실측,"시초 **-11.73% 갭**(이유 없는 하락). 실측 O22,950 H26,800 L21,600 C26,400(**+1.54%**)·361억. 진입 후 ★원칙 손절 -6%(이후 V자 반등=아쉬운 케이스). ※종가 +1.54%이나 라벨=실패(저자 손절 제시 목적)"
CASE-0104,104,실패,2023-12-04,에스앤에스텍,101490,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2012;G2013,S02 예시집 섹션1 #10 / G2012·G2013 + KRX 실측,"시초 **-13.70% 갭**(이유 없는 하락). 실측 O44,100 H47,700 L40,900 C47,000(-8.02%)·901억. ★매매불가: 3분 -6% 급락(진입 필터 위반)=Case3 실물"
CASE-0105,105,실패,2023-11-29,시공테크,020710,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2014;G2015,S02 예시집 섹션1 #11 / G2014·G2015 + KRX 실측,"시초 **-18.35% 갭**. 실측 O5,250 H5,250 L4,810 C4,835(-24.81%)·168억. ★매매금지: 재료 소멸(부산 엑스포 유치 실패)=배제 사례"
CASE-0106,106,실패,2023-11-29,에이에스텍,453860,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2016;G2017,S02 예시집 섹션1 #12 / G2016·G2017 + KRX 실측,"시초 **-10.13% 갭**(신규상장주=재료게이트 우회). 실측 O63,000 H64,300 L51,400 C51,800(-26.11%)·1,566억. ★매매불가: 09:09 시간 부적합 + 진입필터 위반 복합"
CASE-0107,107,성공,2023-11-24,한화오션,042660,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2018;G2020,S02 예시집 섹션1 #13 / G2018·G2020 + KRX 실측,"시초 **-14.34% 갭**(권리매도 악재). 실측 O23,300 H24,100 L22,600 C22,650(-16.73%)·2,283억. 진입=1분 추가하락 후 음봉 시가 돌파(패턴1), 대형주 목표 2~3% 수익"
CASE-0108,108,성공,2023-11-24,미코바이오메드,214610,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2021;G2022,S02 예시집 섹션1 #14 / G2021·G2022 + KRX 실측,"시초 **-15.21% 갭**(이유 없는 하락). 실측 O2,370 H2,565 L2,350 C2,385(-14.67%)·32억. 진입=4% 초과 후 눌림목 예외 매수(패턴2 변형), 수익"
CASE-0109,109,성공,2023-11-21,박셀바이오,323990,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2023;G2024,S02 예시집 섹션1 #15 / G2023·G2024 + KRX 실측,"시초 **-14.69% 갭**(이유 없는 하락·사후 악재). 실측 O18,000 H19,320 L17,800 C18,950(-10.19%)·389억. 진입=음봉 시가 돌파(패턴1), 수익"
CASE-0110,110,성공,2023-11-20,삼성제약,001360,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2025;G2026,S02 예시집 섹션1 #16 / G2025·G2026 + KRX 실측,"시초 **-15.63% 갭**(특정목적 유상증자=악재이나 스윙연결 가능). 실측 O2,160 H2,535 L2,135 C2,380(-7.03%)·76억. 진입→손절→★재매수 수익(손절 후 재매수 실물)"
CASE-0111,111,실패,2023-11-16,강스템바이오텍,217730,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2027;G2028,S02 예시집 섹션1 #17 / G2027·G2028 + KRX 실측,"시초 **-17.53% 갭**(올빼미 공시·유상증자 추가상장 악재). 실측 O1,200 H1,357 L1,166 C1,310(-9.97%)·58억. 진입(패턴1)→★손절. ※CASE-0010(2024-04-02 쩜상한)과 별개"
CASE-0112,112,성공,2023-11-15,자이글,234920,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2029;G2031,S02 예시집 섹션1 #18 / G2029·G2031 + KRX 실측,"시초 **-9.80% 갭**(악재이나 재료소멸 시효 적용=매매가능). 실측 O8,840 H10,250 L8,700 C9,800(0.00%)·45억. 진입=음봉 시가 돌파(패턴1), 수익"
CASE-0113,113,성공,2023-11-15,인벤티지랩,389470,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2032;G2033,S02 예시집 섹션1 #19 / G2032·G2033 + KRX 실측,"시초 **-9.43% 갭**(3분기 영업적자 악재, 임계 -9%대 허용). 실측 O12,000 H12,780 L11,470 C12,630(-4.68%)·78억. 진입(패턴1), 수익. ※CASE-0038(2023-08-01)과 별개"
CASE-0114,114,성공,2023-11-07,세니젠,188260,갭하락 단타,시초 급락 반등,갭하락 단타/시초 급락 반등,G2034;G2035,S02 예시집 섹션1 #20 / G2034·G2035 + KRX 실측,"시초 **-11.64% 갭**(신규상장주 투매). 실측 O8,350 H9,160 L7,600 C7,660(-18.94%)·459억. 진입(패턴2-2), 약수익~본전. ★제목 ""2023-11-15""는 저자 오기, 차트·KRX = **2023-11-07**"
CASE-0115,115,성공,2023-11-27,이오플로우,294090,갭하락 단타,하한가 반등,갭하락 단타/하한가 반등,G2040;G2042,S02 예시집 섹션2 #21 / G2040·G2042 + KRX 실측,"전일 하한가 후 **+0.85% 상승 출발**(대주주 매각 수급 이벤트). 실측 O9,530 H10,470 L9,490 C10,020(+6.03%)·160억. 진입(3%미만), 수익. ★전일 하한가=갭률 필터 해제 근거"
CASE-0116,116,성공,2023-12-08,이오플로우,294090,갭하락 단타,하한가 반등,갭하락 단타/하한가 반등,G2043;G2044,S02 예시집 섹션2 #22 / G2043·G2044 + KRX 실측,"**쩜 하한가 -29.96%**(재료 소멸→쩜하한 예외). 실측 O5,050 H5,840 L5,050 C5,140(-28.71%)·1,065억. 진입(3%초과 눌림목), 일부+5~10% 수익. ※CASE-0095(11-16)와 별개일"
CASE-0117,117,성공,2023-11-30,홈캐스트,064240,갭하락 단타,하한가 반등,갭하락 단타/하한가 반등,G2045;G2046,S02 예시집 섹션2 #23 / G2045·G2046 + KRX 실측,"전일 하한가 후 **-1.31% 출발**(이유 없는 하락). 실측 O3,020 H3,245 L2,500 C2,795(-8.66%)·77억. 여유 있는 진입(손절가 미이탈 횡보), 수익"
CASE-0118,118,실패,2023-11-29,TS트릴리온,317240,갭하락 단타,하한가 반등,갭하락 단타/하한가 반등,G2047;G2048,S02 예시집 섹션2 #24 / G2047·G2048 + KRX 실측,전일 하한가 후 **-4.76% 출발**(경영권 매각·재무악화 악재). 실측 O800 H820 L588 C637(-24.17%)·736억. ★진입 어려움→손절 필수
CASE-0119,119,실패,2023-11-14,넥스트아이,137940,갭하락 단타,하한가 반등,갭하락 단타/하한가 반등,G2050,S02 예시집 섹션2 #25 / G2050 + KRX 실측,전일 하한가 후 **+9.52% 상승 출발**. 실측 O621 H737 L621 C737(**+29.98% 상한가 마감**)·22억. ★매매불가: 단일가 거래+9% 상승(허용 상한 +1~2% 초과). 실측 상한가는 근거 보존
